region,date,mean,median,lower_90,upper_90,lower_50,upper_50
KR,2020-03-11,0.7744114181171521,0.8051244242404748,0.40763304890540103,1.051441332480778,0.40763304890540103,1.051441332480778
KR,2020-03-12,0.8188418132572649,0.8428341881697538,0.4703929920200855,1.1121991027828522,0.4703929920200855,1.1121991027828522
KR,2020-03-13,0.8497062254540529,0.8728532368660076,0.5239230447826396,1.1284105512001399,0.5239230447826396,1.1284105512001399
KR,2020-03-14,0.8762780156059973,0.8929926881790318,0.5472554344173696,1.1843640676296165,0.5472554344173696,1.1843640676296165
KR,2020-03-15,0.8965933421763277,0.9104109328633427,0.5509481147033352,1.212450526335689,0.5509481147033352,1.212450526335689
KR,2020-03-16,0.9090940694953409,0.9200753406638666,0.5514956911098226,1.1628976810843152,0.5514956911098226,1.1628976810843152
KR,2020-03-17,0.9063208171382527,0.9197389943914316,0.5549708710277531,1.1986997182264096,0.5549708710277531,1.1986997182264096
KR,2020-03-18,0.90126605784033,0.9080948232919321,0.5636425316106006,1.2112810067143893,0.5636425316106006,1.2112810067143893
KR,2020-03-19,0.8928479132960481,0.9079469966559639,0.5827227224176191,1.1585727797436673,0.5827227224176191,1.1585727797436673
KR,2020-03-20,0.888754992450777,0.9007970344448071,0.6087442979103774,1.216475116017242,0.6087442979103774,1.216475116017242
KR,2020-03-21,0.8783015717676366,0.8960718111634332,0.5459974068742828,1.1494540907372708,0.5459974068742828,1.1494540907372708
KR,2020-03-22,0.8730233685030361,0.8866022428093429,0.5249896410691047,1.1573353827052464,0.5249896410691047,1.1573353827052464
KR,2020-03-23,0.8582007047891896,0.8756208746178854,0.5280239017884236,1.2040322950445628,0.5280239017884236,1.2040322950445628
KR,2020-03-24,0.8378373397388511,0.8593292702208705,0.4755150503562138,1.14878749489153,0.4755150503562138,1.14878749489153
KR,2020-03-25,0.815363645603085,0.8396017771791471,0.4252118126204854,1.0988474759119633,0.4252118126204854,1.0988474759119633
KR,2020-03-26,0.793089629543827,0.8195654973290699,0.4352001241001128,1.076877018001225,0.4352001241001128,1.076877018001225
KR,2020-03-27,0.7670291461111528,0.7931401516608397,0.4224803039373096,1.0967291405203787,0.4224803039373096,1.0967291405203787
KR,2020-03-28,0.7464059186942896,0.7843334470664757,0.3071134932266757,1.0428610739809425,0.3071134932266757,1.0428610739809425
KR,2020-03-29,0.7214662880846855,0.7560101285537466,0.3138117708543239,1.0317701938467014,0.3138117708543239,1.0317701938467014
KR,2020-03-30,0.7049854942852286,0.7428143409699294,0.24993717793676223,1.0147615502860445,0.24993717793676223,1.0147615502860445
KR,2020-03-31,0.6931852219636523,0.7295508529287439,0.23445226226127663,1.0177955991250638,0.23445226226127663,1.0177955991250638
KR,2020-04-01,0.6834258441231589,0.7202529510033009,0.24212370359437843,1.0309808553231903,0.24212370359437843,1.0309808553231903
KR,2020-04-02,0.677987544151757,0.7116561255073564,0.2044307798063623,1.0038841895676118,0.2044307798063623,1.0038841895676118
KR,2020-04-03,0.6682896772960294,0.6993519574910666,0.2103222151642301,1.016518525576865,0.2103222151642301,1.016518525576865
KR,2020-04-04,0.6674153927276876,0.7016132499671833,0.18729981570217072,1.0184297639514588,0.18729981570217072,1.0184297639514588
KR,2020-04-05,0.6706262023355094,0.707146766366014,0.24488437424804724,1.0711742363600134,0.24488437424804724,1.0711742363600134
KR,2020-04-06,0.6811116503862682,0.714072458381585,0.23673186793020826,1.0403649109942201,0.23673186793020826,1.0403649109942201
KR,2020-04-07,0.6868724689384418,0.7294444861845846,0.24128466512366362,1.098508006934148,0.24128466512366362,1.098508006934148
KR,2020-04-08,0.6952592102976765,0.7330529590770696,0.24206868244613033,1.1060941081916038,0.24206868244613033,1.1060941081916038
KR,2020-04-09,0.708833188687893,0.7508521666782854,0.21397718144456526,1.090135919643591,0.21397718144456526,1.090135919643591
KR,2020-04-10,0.7149134219754849,0.7529495110235636,0.2632997119066186,1.1413705396516387,0.2632997119066186,1.1413705396516387
KR,2020-04-11,0.7259401224919545,0.7624624580639432,0.1871568524937728,1.1486176069695724,0.1871568524937728,1.1486176069695724
KR,2020-04-12,0.7439609815016945,0.7684284540324915,0.20649018215605175,1.1559742724837339,0.20649018215605175,1.1559742724837339
KR,2020-04-13,0.7560491886140502,0.7921933770437208,0.21738574805350958,1.1887500294269286,0.21738574805350958,1.1887500294269286
KR,2020-04-14,0.7643709446828343,0.7998406982479476,0.20828525476677678,1.2023344335994877,0.20828525476677678,1.2023344335994877
KR,2020-04-15,0.7764378919114489,0.8123452970781792,0.26248358283186124,1.2717452591601726,0.26248358283186124,1.2717452591601726
KR,2020-04-16,0.7921235202351036,0.8254062931395274,0.21273625683435615,1.2297279279920208,0.21273625683435615,1.2297279279920208
KR,2020-04-17,0.8100556120900966,0.8487217609930262,0.27145311693888075,1.3069350570769493,0.27145311693888075,1.3069350570769493
KR,2020-04-18,0.8284784989241764,0.8613598394153655,0.2383627441160059,1.2641479676404281,0.2383627441160059,1.2641479676404281
KR,2020-04-19,0.8481872434694069,0.8749334363116805,0.28543640761457056,1.3095392362137965,0.28543640761457056,1.3095392362137965
KR,2020-04-20,0.8686745668286125,0.8893271171833015,0.3476717202533357,1.3629816641583874,0.3476717202533357,1.3629816641583874
KR,2020-04-21,0.8969397279488104,0.922967745078398,0.3562064291481126,1.4117184947056334,0.3562064291481126,1.4117184947056334
KR,2020-04-22,0.9166312944359799,0.9370734284128628,0.3839707366184262,1.4238237664161761,0.3839707366184262,1.4238237664161761
KR,2020-04-23,0.9302923603072429,0.9464566017791898,0.3449734065478178,1.4698158706621203,0.3449734065478178,1.4698158706621203
KR,2020-04-24,0.9489379911359103,0.9587409216726719,0.391372046318407,1.4841391876709118,0.391372046318407,1.4841391876709118
KR,2020-04-25,0.9663562163276528,0.981923572176277,0.4541443122913697,1.5279717375270723,0.4541443122913697,1.5279717375270723
KR,2020-04-26,0.9855390086242308,0.9979967836381842,0.5041976344978426,1.5895915618393668,0.5041976344978426,1.5895915618393668
KR,2020-04-27,1.0030884754885498,1.0061460518400391,0.5258087021624678,1.5546999777240136,0.5258087021624678,1.5546999777240136
KR,2020-04-28,1.0194043420004166,1.0120237210626741,0.47702165425110954,1.532050691528912,0.47702165425110954,1.532050691528912
KR,2020-04-29,1.0370247944269195,1.0335543350231404,0.542718464272521,1.5981460767762243,0.542718464272521,1.5981460767762243
KR,2020-04-30,1.0533532053415835,1.0424378698628214,0.5559684182008152,1.6408496073377519,0.5559684182008152,1.6408496073377519
KR,2020-05-01,1.0738369912460646,1.060280313809661,0.48639265304875634,1.5860349569806804,0.48639265304875634,1.5860349569806804
KR,2020-05-02,1.0843722392979356,1.0683955245806451,0.4942203294601505,1.596627196850714,0.4942203294601505,1.596627196850714
KR,2020-05-03,1.0913643321281299,1.069910870845794,0.5468584739884318,1.630421180957153,0.5468584739884318,1.630421180957153
KR,2020-05-04,1.0983335078492942,1.0758877094371937,0.5954842102517311,1.7537340957674195,0.5954842102517311,1.7537340957674195
KR,2020-05-05,1.1033179746273922,1.0742372442947348,0.5772075067802533,1.7329138714382943,0.5772075067802533,1.7329138714382943
KR,2020-05-06,1.1032855616823563,1.0778015597357729,0.5664504828659388,1.7563434135087257,0.5664504828659388,1.7563434135087257
KR,2020-05-07,1.1007566125976997,1.0808433806653042,0.5438985601816848,1.7597093583473602,0.5438985601816848,1.7597093583473602
KR,2020-05-08,1.1012578234779375,1.0848270214710722,0.5282291114572011,1.811886867736602,0.5282291114572011,1.811886867736602
KR,2020-05-09,1.0939000030318344,1.0767649077430839,0.46451564106910337,1.8651529697588665,0.46451564106910337,1.8651529697588665
KR,2020-05-10,1.092215366682824,1.0763962548715191,0.4302995731553907,1.7979067685423364,0.4302995731553907,1.7979067685423364
KR,2020-05-11,1.0921764259682938,1.0767585869248069,0.4310592839508822,1.8790734179704973,0.4310592839508822,1.8790734179704973
KR,2020-05-12,1.09186357265532,1.070958815573765,0.33091965493860426,1.8519094012156916,0.33091965493860426,1.8519094012156916
KR,2020-05-13,1.0841300783154622,1.0604387695877198,0.2852765928942809,1.8623268472610792,0.2852765928942809,1.8623268472610792
KR,2020-05-14,1.080155746208678,1.0743048369502768,0.28860624818890507,1.9532765678512731,0.28860624818890507,1.9532765678512731
